Record Length,2500,Points,time1,volt1,,Record Length,2500,Points,time2,volt2
,,,9.04E-05,2.00E-02,,,,,9.04E-05,2.87999988
,,,9.08E-05,-6.00E-02,,,,,9.08E-05,2.87999988
,,,9.12E-05,-2.00E-02,,,,,9.12E-05,2.96000004
,,,9.16E-05,-2.00E-02,,,,,9.16E-05,3.03999996
,,,9.20E-05,-2.00E-02,,,,,9.20E-05,2.96000004
,,,9.24E-05,0,,,,,9.24E-05,3.03999996
,,,9.28E-05,0,,,,,9.28E-05,3.03999996
,,,9.32E-05,0,,,,,9.32E-05,3.03999996
,,,9.36E-05,0,,,,,9.36E-05,2.79999995
,,,9.40E-05,-4.00E-02,,,,,9.40E-05,2.87999988
,,,9.44E-05,-2.00E-02,,,,,9.44E-05,2.96000004
,,,9.48E-05,-2.00E-02,,,,,9.48E-05,2.96000004
,,,9.52E-05,0,,,,,9.52E-05,3.03999996
,,,9.56E-05,0,,,,,9.56E-05,2.96000004
,,,9.60E-05,0,,,,,9.60E-05,2.96000004
,,,9.64E-05,0,,,,,9.64E-05,3.03999996
,,,9.68E-05,-6.00E-02,,,,,9.68E-05,2.96000004
,,,9.72E-05,-2.00E-02,,,,,9.72E-05,2.96000004
,,,9.76E-05,-2.00E-02,,,,,9.76E-05,2.96000004
,,,9.80E-05,2.00E-02,,,,,9.80E-05,3.03999996
,,,9.84E-05,-2.00E-02,,,,,9.84E-05,2.96000004
,,,9.88E-05,0,,,,,9.88E-05,2.96000004
,,,9.92E-05,-6.00E-02,,,,,9.92E-05,2.96000004
,,,9.96E-05,0,,,,,9.96E-05,2.96000004
,,,1.00E-04,-2.00E-02,,,,,1.00E-04,2.96000004
,,,1.00E-04,-2.00E-02,,,,,1.00E-04,3.03999996
,,,1.01E-04,-2.00E-02,,,,,1.01E-04,2.96000004
,,,1.01E-04,0,,,,,1.01E-04,2.96000004
,,,1.02E-04,-2.00E-02,,,,,1.02E-04,2.96000004
,,,1.02E-04,0,,,,,1.02E-04,2.96000004
,,,1.02E-04,-4.00E-02,,,,,1.02E-04,3.03999996
,,,1.03E-04,-2.00E-02,,,,,1.03E-04,2.96000004
,,,1.03E-04,-2.00E-02,,,,,1.03E-04,2.96000004
,,,1.04E-04,-2.00E-02,,,,,1.04E-04,3.03999996
,,,1.04E-04,-2.00E-02,,,,,1.04E-04,2.87999988
,,,1.04E-04,-4.00E-02,,,,,1.04E-04,2.96000004
,,,1.05E-04,-2.00E-02,,,,,1.05E-04,2.96000004
,,,1.05E-04,-4.00E-02,,,,,1.05E-04,3.03999996
,,,1.06E-04,-2.00E-02,,,,,1.06E-04,2.87999988
,,,1.06E-04,4.00E-02,,,,,1.06E-04,2.96000004
,,,1.06E-04,-2.00E-02,,,,,1.06E-04,2.96000004
,,,1.07E-04,0,,,,,1.07E-04,3.03999996
,,,1.07E-04,-2.00E-02,,,,,1.07E-04,3.03999996
,,,1.08E-04,0,,,,,1.08E-04,2.87999988
,,,1.08E-04,0,,,,,1.08E-04,2.96000004
,,,1.08E-04,-2.00E-02,,,,,1.08E-04,2.87999988
,,,1.09E-04,0,,,,,1.09E-04,2.96000004
,,,1.09E-04,0,,,,,1.09E-04,3.11999989
,,,1.10E-04,-4.00E-02,,,,,1.10E-04,2.96000004
,,,1.10E-04,0,,,,,1.10E-04,2.87999988
,,,1.10E-04,-2.00E-02,,,,,1.10E-04,2.96000004
,,,1.11E-04,0,,,,,1.11E-04,3.03999996
,,,1.11E-04,2.00E-02,,,,,1.11E-04,2.96000004
,,,1.12E-04,-2.00E-02,,,,,1.12E-04,2.96000004
,,,1.12E-04,0,,,,,1.12E-04,2.96000004
,,,1.12E-04,0,,,,,1.12E-04,3.03999996
,,,1.13E-04,2.00E-02,,,,,1.13E-04,3.03999996
,,,1.13E-04,0,,,,,1.13E-04,2.96000004
,,,1.14E-04,-2.00E-02,,,,,1.14E-04,2.96000004
,,,1.14E-04,-4.00E-02,,,,,1.14E-04,3.11999989
,,,1.14E-04,0,,,,,1.14E-04,2.96000004
,,,1.15E-04,-2.00E-02,,,,,1.15E-04,2.87999988
,,,1.15E-04,-2.00E-02,,,,,1.15E-04,2.96000004
,,,1.16E-04,0,,,,,1.16E-04,2.96000004
,,,1.16E-04,0,,,,,1.16E-04,2.96000004
,,,1.16E-04,-2.00E-02,,,,,1.16E-04,2.87999988
,,,1.17E-04,0,,,,,1.17E-04,2.96000004
,,,1.17E-04,0,,,,,1.17E-04,3.03999996
,,,1.18E-04,0,,,,,1.18E-04,2.96000004
,,,1.18E-04,0,,,,,1.18E-04,2.96000004
,,,1.18E-04,-4.00E-02,,,,,1.18E-04,3.03999996
,,,1.19E-04,-2.00E-02,,,,,1.19E-04,2.96000004
,,,1.19E-04,-2.00E-02,,,,,1.19E-04,3.03999996
,,,1.20E-04,-2.00E-02,,,,,1.20E-04,3.03999996
,,,1.20E-04,-2.00E-02,,,,,1.20E-04,2.96000004
,,,1.20E-04,-2.00E-02,,,,,1.20E-04,2.87999988
,,,1.21E-04,-4.00E-02,,,,,1.21E-04,3.03999996
,,,1.21E-04,0,,,,,1.21E-04,3.03999996
,,,1.22E-04,-2.00E-02,,,,,1.22E-04,2.96000004
,,,1.22E-04,2.00E-02,,,,,1.22E-04,2.96000004
,,,1.22E-04,-4.00E-02,,,,,1.22E-04,3.03999996
,,,1.23E-04,2.00E-02,,,,,1.23E-04,3.03999996
,,,1.23E-04,-2.00E-02,,,,,1.23E-04,2.96000004
,,,1.24E-04,-2.00E-02,,,,,1.24E-04,2.96000004
,,,1.24E-04,-2.00E-02,,,,,1.24E-04,3.03999996
,,,1.24E-04,0,,,,,1.24E-04,2.96000004
,,,1.25E-04,2.00E-02,,,,,1.25E-04,2.96000004
,,,1.25E-04,-2.00E-02,,,,,1.25E-04,2.96000004
,,,1.26E-04,-2.00E-02,,,,,1.26E-04,2.96000004
,,,1.26E-04,0,,,,,1.26E-04,2.96000004
,,,1.26E-04,0,,,,,1.26E-04,2.96000004
,,,1.27E-04,0,,,,,1.27E-04,2.96000004
,,,1.27E-04,-4.00E-02,,,,,1.27E-04,2.96000004
,,,1.28E-04,2.00E-02,,,,,1.28E-04,2.87999988
,,,1.28E-04,-4.00E-02,,,,,1.28E-04,3.03999996
,,,1.28E-04,0,,,,,1.28E-04,2.96000004
,,,1.29E-04,0,,,,,1.29E-04,2.96000004
,,,1.29E-04,0,,,,,1.29E-04,2.96000004
,,,1.30E-04,-2.00E-02,,,,,1.30E-04,3.03999996
,,,1.30E-04,0,,,,,1.30E-04,2.96000004
,,,1.30E-04,-4.00E-02,,,,,1.30E-04,2.96000004
,,,1.31E-04,2.00E-02,,,,,1.31E-04,2.96000004
,,,1.31E-04,-2.00E-02,,,,,1.31E-04,3.03999996
,,,1.32E-04,-2.00E-02,,,,,1.32E-04,2.96000004
,,,1.32E-04,0,,,,,1.32E-04,3.03999996
,,,1.32E-04,0,,,,,1.32E-04,2.96000004
,,,1.33E-04,-2.00E-02,,,,,1.33E-04,3.03999996
,,,1.33E-04,0,,,,,1.33E-04,2.96000004
,,,1.34E-04,-2.00E-02,,,,,1.34E-04,2.96000004
,,,1.34E-04,-2.00E-02,,,,,1.34E-04,2.96000004
,,,1.34E-04,0,,,,,1.34E-04,2.96000004
,,,1.35E-04,-2.00E-02,,,,,1.35E-04,2.96000004
,,,1.35E-04,0,,,,,1.35E-04,2.96000004
,,,1.36E-04,2.00E-02,,,,,1.36E-04,2.96000004
,,,1.36E-04,-2.00E-02,,,,,1.36E-04,2.87999988
,,,1.36E-04,-2.00E-02,,,,,1.36E-04,3.03999996
,,,1.37E-04,-2.00E-02,,,,,1.37E-04,2.96000004
,,,1.37E-04,-2.00E-02,,,,,1.37E-04,3.03999996
,,,1.38E-04,0,,,,,1.38E-04,2.96000004
,,,1.38E-04,-4.00E-02,,,,,1.38E-04,2.87999988
,,,1.38E-04,-2.00E-02,,,,,1.38E-04,2.87999988
,,,1.39E-04,-2.00E-02,,,,,1.39E-04,2.96000004
,,,1.39E-04,-2.00E-02,,,,,1.39E-04,2.87999988
,,,1.40E-04,-4.00E-02,,,,,1.40E-04,2.96000004
,,,1.40E-04,0,,,,,1.40E-04,2.87999988
,,,1.40E-04,0,,,,,1.40E-04,2.96000004
,,,1.41E-04,0,,,,,1.41E-04,3.03999996
,,,1.41E-04,0,,,,,1.41E-04,2.96000004
,,,1.42E-04,0,,,,,1.42E-04,2.96000004
,,,1.42E-04,-4.00E-02,,,,,1.42E-04,2.96000004
,,,1.42E-04,2.00E-02,,,,,1.42E-04,2.96000004
,,,1.43E-04,-2.00E-02,,,,,1.43E-04,2.96000004
,,,1.43E-04,-4.00E-02,,,,,1.43E-04,2.96000004
,,,1.44E-04,-4.00E-02,,,,,1.44E-04,2.87999988
,,,1.44E-04,-2.00E-02,,,,,1.44E-04,2.96000004
,,,1.44E-04,0,,,,,1.44E-04,2.96000004
,,,1.45E-04,-2.00E-02,,,,,1.45E-04,2.96000004
,,,1.45E-04,0,,,,,1.45E-04,2.87999988
,,,1.46E-04,4.00E-02,,,,,1.46E-04,2.96000004
