Record Length,2500,Points,time1,volt1,,Record Length,2500,Points,time2,volt2
,,,-2.10E-04,0,,,,,-2.10E-04,0
,,,-2.09E-04,-4.00E-02,,,,,-2.09E-04,8.00E-02
,,,-2.09E-04,-6.00E-02,,,,,-2.09E-04,0
,,,-2.08E-04,-6.00E-02,,,,,-2.08E-04,0
,,,-2.08E-04,-6.00E-02,,,,,-2.08E-04,0
,,,-2.08E-04,-4.00E-02,,,,,-2.08E-04,0
,,,-2.07E-04,-4.00E-02,,,,,-2.07E-04,8.00E-02
,,,-2.07E-04,-4.00E-02,,,,,-2.07E-04,-8.00E-02
,,,-2.06E-04,0,,,,,-2.06E-04,0
,,,-2.06E-04,-2.00E-02,,,,,-2.06E-04,8.00E-02
,,,-2.06E-04,0,,,,,-2.06E-04,8.00E-02
,,,-2.05E-04,-4.00E-02,,,,,-2.05E-04,0
,,,-2.05E-04,0,,,,,-2.05E-04,8.00E-02
,,,-2.04E-04,0,,,,,-2.04E-04,8.00E-02
,,,-2.04E-04,-2.00E-02,,,,,-2.04E-04,8.00E-02
,,,-2.04E-04,-4.00E-02,,,,,-2.04E-04,0
,,,-2.03E-04,0,,,,,-2.03E-04,0
,,,-2.03E-04,-8.00E-02,,,,,-2.03E-04,0
,,,-2.02E-04,-2.00E-02,,,,,-2.02E-04,0
,,,-2.02E-04,-8.00E-02,,,,,-2.02E-04,-8.00E-02
,,,-2.02E-04,-4.00E-02,,,,,-2.02E-04,8.00E-02
,,,-2.01E-04,-2.00E-02,,,,,-2.01E-04,8.00E-02
,,,-2.01E-04,-2.00E-02,,,,,-2.01E-04,0
,,,-2.00E-04,-2.00E-02,,,,,-2.00E-04,0
,,,-2.00E-04,-4.00E-02,,,,,-2.00E-04,1.60E-01
,,,-2.00E-04,-4.00E-02,,,,,-2.00E-04,8.00E-02
,,,-1.99E-04,-6.00E-02,,,,,-1.99E-04,8.00E-02
,,,-1.99E-04,-2.00E-02,,,,,-1.99E-04,0
,,,-1.98E-04,-6.00E-02,,,,,-1.98E-04,8.00E-02
,,,-1.98E-04,-2.00E-02,,,,,-1.98E-04,8.00E-02
,,,-1.98E-04,-4.00E-02,,,,,-1.98E-04,8.00E-02
,,,-1.97E-04,-2.00E-02,,,,,-1.97E-04,-8.00E-02
,,,-1.97E-04,-4.00E-02,,,,,-1.97E-04,8.00E-02
,,,-1.96E-04,-2.00E-02,,,,,-1.96E-04,8.00E-02
,,,-1.96E-04,-2.00E-02,,,,,-1.96E-04,0
,,,-1.96E-04,-6.00E-02,,,,,-1.96E-04,8.00E-02
,,,-1.95E-04,0,,,,,-1.95E-04,8.00E-02
,,,-1.95E-04,-2.00E-02,,,,,-1.95E-04,8.00E-02
,,,-1.94E-04,-4.00E-02,,,,,-1.94E-04,8.00E-02
,,,-1.94E-04,-4.00E-02,,,,,-1.94E-04,8.00E-02
,,,-1.94E-04,-4.00E-02,,,,,-1.94E-04,-8.00E-02
,,,-1.93E-04,-2.00E-02,,,,,-1.93E-04,0
,,,-1.93E-04,-2.00E-02,,,,,-1.93E-04,0
,,,-1.92E-04,-4.00E-02,,,,,-1.92E-04,8.00E-02
,,,-1.92E-04,-4.00E-02,,,,,-1.92E-04,0
,,,-1.92E-04,-4.00E-02,,,,,-1.92E-04,8.00E-02
,,,-1.91E-04,-2.00E-02,,,,,-1.91E-04,0
,,,-1.91E-04,0,,,,,-1.91E-04,8.00E-02
,,,-1.90E-04,0,,,,,-1.90E-04,0
,,,-1.90E-04,-4.00E-02,,,,,-1.90E-04,0
,,,-1.90E-04,-4.00E-02,,,,,-1.90E-04,-8.00E-02
,,,-1.89E-04,-4.00E-02,,,,,-1.89E-04,0
,,,-1.89E-04,-2.00E-02,,,,,-1.89E-04,0
,,,-1.88E-04,-6.00E-02,,,,,-1.88E-04,8.00E-02
,,,-1.88E-04,-2.00E-02,,,,,-1.88E-04,0
,,,-1.88E-04,-2.00E-02,,,,,-1.88E-04,0
,,,-1.87E-04,-2.00E-02,,,,,-1.87E-04,-8.00E-02
,,,-1.87E-04,-2.00E-02,,,,,-1.87E-04,1.60E-01
,,,-1.86E-04,-2.00E-02,,,,,-1.86E-04,0
,,,-1.86E-04,0,,,,,-1.86E-04,8.00E-02
,,,-1.86E-04,-4.00E-02,,,,,-1.86E-04,0
,,,-1.85E-04,-6.00E-02,,,,,-1.85E-04,0
,,,-1.85E-04,-4.00E-02,,,,,-1.85E-04,8.00E-02
,,,-1.84E-04,-4.00E-02,,,,,-1.84E-04,0
,,,-1.84E-04,-4.00E-02,,,,,-1.84E-04,0
,,,-1.84E-04,-2.00E-02,,,,,-1.84E-04,0
,,,-1.83E-04,-2.00E-02,,,,,-1.83E-04,8.00E-02
,,,-1.83E-04,-2.00E-02,,,,,-1.83E-04,8.00E-02
,,,-1.82E-04,-2.00E-02,,,,,-1.82E-04,0
,,,-1.82E-04,-1.00E-01,,,,,-1.82E-04,-8.00E-02
,,,-1.82E-04,-4.00E-02,,,,,-1.82E-04,8.00E-02
,,,-1.81E-04,-4.00E-02,,,,,-1.81E-04,8.00E-02
,,,-1.81E-04,-4.00E-02,,,,,-1.81E-04,0
,,,-1.80E-04,-4.00E-02,,,,,-1.80E-04,8.00E-02
,,,-1.80E-04,-2.00E-02,,,,,-1.80E-04,0
,,,-1.80E-04,-6.00E-02,,,,,-1.80E-04,1.60E-01
,,,-1.79E-04,-2.00E-02,,,,,-1.79E-04,0
,,,-1.79E-04,-8.00E-02,,,,,-1.79E-04,0
,,,-1.78E-04,-2.00E-02,,,,,-1.78E-04,8.00E-02
,,,-1.78E-04,-2.00E-02,,,,,-1.78E-04,0
,,,-1.78E-04,-2.00E-02,,,,,-1.78E-04,8.00E-02
,,,-1.77E-04,-2.00E-02,,,,,-1.77E-04,-8.00E-02
,,,-1.77E-04,0,,,,,-1.77E-04,8.00E-02
,,,-1.76E-04,-2.00E-02,,,,,-1.76E-04,8.00E-02
,,,-1.76E-04,-4.00E-02,,,,,-1.76E-04,8.00E-02
,,,-1.76E-04,-2.00E-02,,,,,-1.76E-04,8.00E-02
,,,-1.75E-04,-6.00E-02,,,,,-1.75E-04,8.00E-02
,,,-1.75E-04,-2.00E-02,,,,,-1.75E-04,8.00E-02
,,,-1.74E-04,-6.00E-02,,,,,-1.74E-04,0
,,,-1.74E-04,-2.00E-02,,,,,-1.74E-04,-8.00E-02
,,,-1.74E-04,-4.00E-02,,,,,-1.74E-04,0
,,,-1.73E-04,-2.00E-02,,,,,-1.73E-04,-8.00E-02
,,,-1.73E-04,-4.00E-02,,,,,-1.73E-04,8.00E-02
,,,-1.72E-04,-2.00E-02,,,,,-1.72E-04,-8.00E-02
,,,-1.72E-04,-4.00E-02,,,,,-1.72E-04,-8.00E-02
,,,-1.72E-04,0,,,,,-1.72E-04,0
,,,-1.71E-04,-4.00E-02,,,,,-1.71E-04,-8.00E-02
,,,-1.71E-04,0,,,,,-1.71E-04,8.00E-02
,,,-1.70E-04,-4.00E-02,,,,,-1.70E-04,8.00E-02
,,,-1.70E-04,-2.00E-02,,,,,-1.70E-04,0
,,,-1.70E-04,-2.00E-02,,,,,-1.70E-04,0
,,,-1.69E-04,-6.00E-02,,,,,-1.69E-04,8.00E-02
,,,-1.69E-04,-4.00E-02,,,,,-1.69E-04,0
,,,-1.68E-04,-6.00E-02,,,,,-1.68E-04,0
,,,-1.68E-04,-4.00E-02,,,,,-1.68E-04,-8.00E-02
,,,-1.68E-04,-4.00E-02,,,,,-1.68E-04,0
,,,-1.67E-04,-8.00E-02,,,,,-1.67E-04,-8.00E-02
,,,-1.67E-04,0,,,,,-1.67E-04,0
,,,-1.66E-04,-2.00E-02,,,,,-1.66E-04,8.00E-02
,,,-1.66E-04,-4.00E-02,,,,,-1.66E-04,1.60E-01
,,,-1.66E-04,-4.00E-02,,,,,-1.66E-04,0
,,,-1.65E-04,0,,,,,-1.65E-04,8.00E-02
,,,-1.65E-04,-2.00E-02,,,,,-1.65E-04,8.00E-02
,,,-1.64E-04,-2.00E-02,,,,,-1.64E-04,8.00E-02
,,,-1.64E-04,-2.00E-02,,,,,-1.64E-04,0
,,,-1.64E-04,-2.00E-02,,,,,-1.64E-04,0
,,,-1.63E-04,-4.00E-02,,,,,-1.63E-04,0
,,,-1.63E-04,-2.00E-02,,,,,-1.63E-04,8.00E-02
,,,-1.62E-04,-6.00E-02,,,,,-1.62E-04,0
,,,-1.62E-04,-4.00E-02,,,,,-1.62E-04,1.60E-01
,,,-1.62E-04,0,,,,,-1.62E-04,8.00E-02
,,,-1.61E-04,-2.00E-02,,,,,-1.61E-04,0
,,,-1.61E-04,-2.00E-02,,,,,-1.61E-04,1.60E-01
,,,-1.60E-04,-4.00E-02,,,,,-1.60E-04,0
,,,-1.60E-04,-4.00E-02,,,,,-1.60E-04,0
,,,-1.60E-04,-2.00E-02,,,,,-1.60E-04,0
,,,-1.59E-04,-4.00E-02,,,,,-1.59E-04,0
,,,-1.59E-04,-4.00E-02,,,,,-1.59E-04,8.00E-02
,,,-1.58E-04,-4.00E-02,,,,,-1.58E-04,8.00E-02
,,,-1.58E-04,-4.00E-02,,,,,-1.58E-04,1.60E-01
,,,-1.58E-04,-2.00E-02,,,,,-1.58E-04,0
,,,-1.57E-04,-2.00E-02,,,,,-1.57E-04,8.00E-02
,,,-1.57E-04,0,,,,,-1.57E-04,1.60E-01
,,,-1.56E-04,-4.00E-02,,,,,-1.56E-04,0
,,,-1.56E-04,-6.00E-02,,,,,-1.56E-04,0
,,,-1.56E-04,-2.00E-02,,,,,-1.56E-04,0
,,,-1.55E-04,-4.00E-02,,,,,-1.55E-04,0
,,,-1.55E-04,-4.00E-02,,,,,-1.55E-04,1.60E-01
,,,-1.54E-04,-4.00E-02,,,,,-1.54E-04,8.00E-02
,,,-1.54E-04,-2.00E-02,,,,,-1.54E-04,-8.00E-02
,,,-1.54E-04,-2.00E-02,,,,,-1.54E-04,8.00E-02
,,,-1.53E-04,-4.00E-02,,,,,-1.53E-04,8.00E-02
,,,-1.53E-04,-4.00E-02,,,,,-1.53E-04,0
,,,-1.52E-04,-2.00E-02,,,,,-1.52E-04,0
,,,-1.52E-04,0,,,,,-1.52E-04,0
,,,-1.52E-04,-2.00E-02,,,,,-1.52E-04,8.00E-02
,,,-1.51E-04,-2.00E-02,,,,,-1.51E-04,1.60E-01
