Record Length,1.02E+03,,freq,level
,,,11097.30144,-66.9897
,,,11220.60479,-66.9897
,,,11343.90814,-66.9897
,,,11467.21149,-66.9897
,,,11590.51484,-65.7897
,,,11713.81819,-66.9897
,,,11837.12154,-61.7897
,,,11960.42489,-60.5897
,,,12083.72824,-62.9897
,,,12207.03159,-66.9897
,,,12330.33494,-66.9897
,,,12453.63829,-66.9897
,,,12576.94164,-66.9897
,,,12700.24499,-65.7897
,,,12823.54834,-66.9897
,,,12946.85169,-66.9897
,,,13070.15504,-66.9897
,,,13193.45839,-66.9897
,,,13316.76174,-66.9897
,,,13440.06509,-66.9897
,,,13563.36844,-66.9897
,,,13686.67179,-66.9897
,,,13809.97514,-66.9897
,,,13933.27849,-66.9897
,,,14056.58184,-66.9897
,,,14179.88519,-65.7897
,,,14303.18854,-66.9897
,,,14426.49189,-66.9897
,,,14549.79524,-66.9897
,,,14673.09859,-66.9897
,,,14796.40194,-66.9897
,,,14919.70529,-66.9897
,,,15043.00864,-66.9897
,,,15166.31199,-66.9897
,,,15289.61534,-66.9897
,,,15412.91869,-66.9897
,,,15536.22204,-62.9897
,,,15659.52539,-62.9897
,,,15782.82874,-66.9897
,,,15906.13209,-66.9897
,,,16029.43544,-65.7897
,,,16152.73879,-65.7897
,,,16276.04214,-66.9897
,,,16399.34549,-66.9897
,,,16522.64884,-65.7897
,,,16645.95219,-65.7897
,,,16769.25554,-66.9897
,,,16892.55889,-66.9897
,,,17015.86224,-65.7897
,,,17139.16559,-66.9897
,,,17262.46894,-66.9897
,,,17385.77229,-57.3897
,,,17509.07564,-52.9897
,,,17632.37899,-58.1897
,,,17755.68234,-66.9897
,,,17878.98569,-65.7897
,,,18002.28904,-66.9897
,,,18125.59239,-66.9897
,,,18248.89574,-65.7897
,,,18372.19909,-66.9897
,,,18495.50244,-65.7897
,,,18618.80579,-65.7897
,,,18742.10914,-66.9897
,,,18865.41249,-65.7897
,,,18988.71584,-66.9897
,,,19112.01919,-66.9897
,,,19235.32254,-66.9897
,,,19358.62589,-66.9897
,,,19481.92924,-66.9897
,,,19605.23259,-66.9897
,,,19728.53594,-66.9897
,,,19851.83929,-65.7897
,,,19975.14264,-65.7897
,,,20098.44599,-65.7897
,,,20221.74934,-66.9897
,,,20345.05269,-65.7897
,,,20468.35604,-66.9897
,,,20591.65939,-65.7897
,,,20714.96274,-65.7897
,,,20838.26609,-66.9897
,,,20961.56944,-66.9897
,,,21084.87279,-66.9897
,,,21208.17614,-65.7897
,,,21331.47949,-66.9897
,,,21454.78284,-66.9897
,,,21578.08619,-65.7897
,,,21701.38954,-66.9897
,,,21824.69289,-66.9897
,,,21947.99624,-66.9897
,,,22071.29959,-66.9897
,,,22194.60294,-66.9897
,,,22317.90629,-66.9897
,,,22441.20964,-66.9897
,,,22564.51299,-66.9897
,,,22687.81634,-66.9897
,,,22811.11969,-66.9897
,,,22934.42304,-62.9897
,,,23057.72639,-62.9897
,,,23181.02974,-66.9897
,,,23304.33309,-63.7897
,,,23427.63644,-66.9897
,,,23550.93979,-66.9897
,,,23674.24314,-65.7897
,,,23797.54649,-66.9897
,,,23920.84984,-66.9897
,,,24044.15319,-66.9897
,,,24167.45654,-66.9897
,,,24290.75989,-66.9897
,,,24414.06324,-65.7897
,,,24537.36659,-66.9897
,,,24660.66994,-66.9897
,,,24783.97329,-66.9897
,,,24907.27664,-66.9897
,,,25030.57999,-66.9897
,,,25153.88334,-65.7897
,,,25277.18669,-63.3897
,,,25400.49004,-66.9897
,,,25523.79339,-66.9897
,,,25647.09674,-66.9897
,,,25770.40009,-66.9897
,,,25893.70344,-66.9897
,,,26017.00679,-63.3897
,,,26140.31014,-66.9897
,,,26263.61349,-66.9897
,,,26386.91684,-66.9897
,,,26510.22019,-66.9897
,,,26633.52354,-66.9897
,,,26756.82689,-66.9897
,,,26880.13024,-66.9897
,,,27003.43359,-66.9897
,,,27126.73694,-66.9897
,,,27250.04029,-66.9897
,,,27373.34364,-66.9897
,,,27496.64699,-66.9897
,,,27619.95034,-66.9897
,,,27743.25369,-66.9897
,,,27866.55704,-66.9897
,,,27989.86039,-66.9897
,,,28113.16374,-66.9897
,,,28236.46709,-62.9897
,,,28359.77044,-66.9897
,,,28483.07379,-66.9897
,,,28606.37714,-65.7897
,,,28729.68049,-65.7897
,,,28852.98384,-66.9897
,,,28976.28719,-65.7897
,,,29099.59054,-66.9897
,,,29222.89389,-66.9897
,,,29346.19724,-66.9897
,,,29469.50059,-60.5897
,,,29592.80394,-62.9897
